,BEARING,mean_ted,std_ted,freq_ted,island
280,270,0.637145942,0.608831842,2159,HOW
281,280,0.521605417,0.474912262,3021,HOW
282,290,0.561466924,0.475003275,3644,HOW
283,300,0.44704796,0.464471883,5269,HOW
284,310,0.423155897,0.43487631,6319,HOW
285,320,0.367917663,0.391054563,6905,HOW
286,330,0.263302913,0.334233351,7929,HOW
287,340,0.273780569,0.318612258,8096,HOW
288,350,0.236392242,0.222981026,7655,HOW
289,0,0.243328428,0.182051107,7457,HOW
290,10,0.243361888,0.178461886,5716,HOW
291,20,0.263966316,0.181633687,4892,HOW
292,30,0.335427699,0.260287183,3510,HOW
293,40,0.359067925,0.318918962,3423,HOW
294,50,0.362616937,0.326062343,3114,HOW
295,60,0.397584567,0.320426625,2820,HOW
296,70,0.404620674,0.301906659,2822,HOW
297,80,0.387412588,0.306005342,2735,HOW
298,90,0.412453681,0.336575891,2812,HOW
299,100,0.447441279,0.328174414,2924,HOW
300,110,0.528322252,0.413625231,2789,HOW
301,120,0.61602553,0.448660961,2593,HOW
302,130,0.797297002,0.414630365,1372,HOW
303,140,1.139509759,0.476837598,904,HOW
304,150,1.111754544,0.108673911,2558,HOW
305,160,1.285354327,0.350607474,4036,HOW
306,170,1.545273275,0.996625508,5874,HOW
307,180,2.484072463,1.66046481,4371,HOW
308,190,2.080638602,1.752994726,3537,HOW
309,200,1.49743498,1.100111591,3406,HOW
310,210,1.231377846,1.240800456,2588,HOW
311,220,1.016630113,1.155720704,2251,HOW
312,230,0.958673184,1.013654322,1955,HOW
313,240,0.867448668,0.902330451,1848,HOW
314,250,0.628791229,0.505504114,1842,HOW
315,260,0.609711162,0.405091373,1805,HOW
316,270,0.637145942,0.608831842,2159,HOW
317,280,0.521605417,0.474912262,3021,HOW
318,290,0.561466924,0.475003275,3644,HOW
319,300,0.44704796,0.464471883,5269,HOW
320,310,0.423155897,0.43487631,6319,HOW
321,320,0.367917663,0.391054563,6905,HOW
322,330,0.263302913,0.334233351,7929,HOW
323,340,0.273780569,0.318612258,8096,HOW
324,350,0.236392242,0.222981026,7655,HOW
325,0,0.269049686,0.72502066,4167,JAR
326,10,0.185451976,0.416349604,4216,JAR
327,20,0.202665363,0.41314011,4579,JAR
328,30,0.236858184,0.451908495,4890,JAR
329,40,0.272755094,0.484294836,5570,JAR
330,50,0.380224668,0.61558046,5775,JAR
331,60,0.514679008,0.729994452,6298,JAR
332,70,0.813651742,0.994434687,7363,JAR
333,80,1.2084112,1.227738501,8503,JAR
334,90,1.713704595,1.807277554,7983,JAR
335,100,1.988416513,2.049742722,8976,JAR
336,110,2.629153502,2.632211338,9277,JAR
337,120,2.828405738,2.925811701,9401,JAR
338,130,3.033257876,3.137152479,8704,JAR
339,140,3.064127008,3.221755644,7534,JAR
340,150,2.544526602,3.182329607,6614,JAR
341,160,2.129140306,3.053204422,5777,JAR
342,170,1.8587665,2.987427896,4944,JAR
343,180,1.733676058,2.843543175,4823,JAR
344,190,1.346638545,2.438798401,4586,JAR
345,200,1.068387716,2.045333784,5086,JAR
346,210,0.837536299,1.827763438,6252,JAR
347,220,0.775099936,1.682392854,7271,JAR
348,230,1.442487825,2.196646029,7656,JAR
349,240,2.285303639,2.410197672,7004,JAR
350,250,3.196168469,2.551927591,6044,JAR
351,260,3.379792845,2.370325863,6963,JAR
352,270,2.859746943,2.546063886,8449,JAR
353,280,2.328862004,1.960448021,7627,JAR
354,290,1.504586737,1.770575794,6814,JAR
355,300,0.825648566,1.38750542,6220,JAR
356,310,0.545387048,1.198613415,5857,JAR
357,320,0.44379384,1.098678832,5252,JAR
358,330,0.357346692,0.97157007,4689,JAR
359,340,0.343048116,0.97712406,4311,JAR
360,350,0.282511165,0.854563412,4525,JAR
361,0,0.269049686,0.72502066,4167,JAR
362,10,0.185451976,0.416349604,4216,JAR
363,20,0.202665363,0.41314011,4579,JAR
364,30,0.236858184,0.451908495,4890,JAR
365,40,0.272755094,0.484294836,5570,JAR
366,50,0.380224668,0.61558046,5775,JAR
367,60,0.514679008,0.729994452,6298,JAR
368,70,0.813651742,0.994434687,7363,JAR
369,80,1.2084112,1.227738501,8503,JAR
370,90,1.713704595,1.807277554,7983,JAR
371,100,1.988416513,2.049742722,8976,JAR
372,110,2.629153502,2.632211338,9277,JAR
373,120,2.828405738,2.925811701,9401,JAR
374,130,3.033257876,3.137152479,8704,JAR
375,140,3.064127008,3.221755644,7534,JAR
376,150,2.544526602,3.182329607,6614,JAR
377,160,2.129140306,3.053204422,5777,JAR
378,170,1.8587665,2.987427896,4944,JAR
379,180,1.733676058,2.843543175,4823,JAR
380,190,1.346638545,2.438798401,4586,JAR
381,200,1.068387716,2.045333784,5086,JAR
382,210,0.837536299,1.827763438,6252,JAR
383,220,0.775099936,1.682392854,7271,JAR
384,230,1.442487825,2.196646029,7656,JAR
385,240,2.285303639,2.410197672,7004,JAR
386,250,3.196168469,2.551927591,6044,JAR
387,260,3.379792845,2.370325863,6963,JAR
388,270,2.859746943,2.546063886,8449,JAR
389,280,2.328862004,1.960448021,7627,JAR
390,290,1.504586737,1.770575794,6814,JAR
391,300,0.825648566,1.38750542,6220,JAR
392,310,0.545387048,1.198613415,5857,JAR
393,320,0.44379384,1.098678832,5252,JAR
394,330,0.357346692,0.97157007,4689,JAR
395,340,0.343048116,0.97712406,4311,JAR
396,350,0.282511165,0.854563412,4525,JAR
397,0,0.269049686,0.72502066,4167,JAR
398,10,0.185451976,0.416349604,4216,JAR
399,20,0.202665363,0.41314011,4579,JAR
400,30,0.236858184,0.451908495,4890,JAR
401,40,0.272755094,0.484294836,5570,JAR
402,50,0.380224668,0.61558046,5775,JAR
403,60,0.514679008,0.729994452,6298,JAR
404,70,0.813651742,0.994434687,7363,JAR
405,80,1.2084112,1.227738501,8503,JAR
406,90,1.713704595,1.807277554,7983,JAR
407,100,1.988416513,2.049742722,8976,JAR
408,110,2.629153502,2.632211338,9277,JAR
409,120,2.828405738,2.925811701,9401,JAR
410,130,3.033257876,3.137152479,8704,JAR
411,140,3.064127008,3.221755644,7534,JAR
412,150,2.544526602,3.182329607,6614,JAR
413,160,2.129140306,3.053204422,5777,JAR
414,170,1.8587665,2.987427896,4944,JAR
415,180,1.733676058,2.843543175,4823,JAR
416,190,1.346638545,2.438798401,4586,JAR
417,200,1.068387716,2.045333784,5086,JAR
418,210,0.837536299,1.827763438,6252,JAR
419,220,0.775099936,1.682392854,7271,JAR
420,230,1.442487825,2.196646029,7656,JAR
421,240,2.285303639,2.410197672,7004,JAR
422,250,3.196168469,2.551927591,6044,JAR
423,260,3.379792845,2.370325863,6963,JAR
424,270,2.859746943,2.546063886,8449,JAR
425,280,2.328862004,1.960448021,7627,JAR
426,290,1.504586737,1.770575794,6814,JAR
427,300,0.825648566,1.38750542,6220,JAR
428,310,0.545387048,1.198613415,5857,JAR
429,320,0.44379384,1.098678832,5252,JAR
430,330,0.357346692,0.97157007,4689,JAR
431,340,0.343048116,0.97712406,4311,JAR
432,350,0.282511165,0.854563412,4525,JAR
433,0,0.026759845,0.063344928,243159,KAU
434,10,0.030807124,0.068149506,259075,KAU
435,20,0.048572208,0.157872397,282196,KAU
436,30,0.093302118,0.300777471,287874,KAU
437,40,0.151184676,0.438155308,282135,KAU
438,50,0.221417998,0.601915509,288038,KAU
439,60,0.300261584,0.782687189,288841,KAU
440,70,0.397551633,0.977213132,243690,KAU
441,80,0.499761241,1.169362903,205798,KAU
442,90,0.569505198,1.258798615,194845,KAU
443,100,0.65427142,1.398055909,189189,KAU
444,110,0.719657836,1.429215413,187276,KAU
445,120,0.741566499,1.507066869,187492,KAU
446,130,0.738592613,1.523671545,173471,KAU
447,140,0.750764349,1.530140493,156585,KAU
448,150,0.746051982,1.489032109,142597,KAU
449,160,0.757050243,1.495863008,129516,KAU
450,170,0.758453974,1.48630411,115538,KAU
451,180,0.724252827,1.423277888,102548,KAU
452,190,0.694675014,1.360428654,89740,KAU
453,200,0.622180925,1.217847409,92428,KAU
454,210,0.527799487,1.027025022,121131,KAU
455,220,0.418081962,0.82914534,180455,KAU
456,230,0.342533327,0.708942962,279114,KAU
457,240,0.253016976,0.539070908,400647,KAU
458,250,0.164106634,0.368113911,496446,KAU
459,260,0.09234264,0.255567282,577706,KAU
460,270,0.07124237,0.196777619,599592,KAU
461,280,0.058793397,0.15303426,522780,KAU
462,290,0.047273014,0.102458845,455991,KAU
463,300,0.047544645,0.096464952,404542,KAU
464,310,0.047619446,0.099352648,344731,KAU
465,320,0.04407043,0.096567881,298221,KAU
466,330,0.038421051,0.089004919,278827,KAU
467,340,0.03355464,0.079819951,263799,KAU
468,350,0.028874975,0.070542209,247561,KAU
469,0,0.026759845,0.063344928,243159,KAU
470,10,0.030807124,0.068149506,259075,KAU
471,20,0.048572208,0.157872397,282196,KAU
472,30,0.093302118,0.300777471,287874,KAU
473,40,0.151184676,0.438155308,282135,KAU
474,50,0.221417998,0.601915509,288038,KAU
475,60,0.300261584,0.782687189,288841,KAU
476,70,0.397551633,0.977213132,243690,KAU
477,80,0.499761241,1.169362903,205798,KAU
478,90,0.569505198,1.258798615,194845,KAU
479,100,0.65427142,1.398055909,189189,KAU
480,110,0.719657836,1.429215413,187276,KAU
481,120,0.741566499,1.507066869,187492,KAU
482,130,0.738592613,1.523671545,173471,KAU
483,140,0.750764349,1.530140493,156585,KAU
484,150,0.746051982,1.489032109,142597,KAU
485,160,0.757050243,1.495863008,129516,KAU
486,170,0.758453974,1.48630411,115538,KAU
487,180,0.724252827,1.423277888,102548,KAU
488,190,0.694675014,1.360428654,89740,KAU
489,200,0.622180925,1.217847409,92428,KAU
490,210,0.527799487,1.027025022,121131,KAU
491,220,0.418081962,0.82914534,180455,KAU
492,230,0.342533327,0.708942962,279114,KAU
493,240,0.253016976,0.539070908,400647,KAU
494,250,0.164106634,0.368113911,496446,KAU
495,260,0.09234264,0.255567282,577706,KAU
496,270,0.07124237,0.196777619,599592,KAU
497,280,0.058793397,0.15303426,522780,KAU
498,290,0.047273014,0.102458845,455991,KAU
499,300,0.047544645,0.096464952,404542,KAU
500,310,0.047619446,0.099352648,344731,KAU
501,320,0.04407043,0.096567881,298221,KAU
502,330,0.038421051,0.089004919,278827,KAU
503,340,0.03355464,0.079819951,263799,KAU
504,350,0.028874975,0.070542209,247561,KAU
505,0,0.026759845,0.063344928,243159,KAU
506,10,0.030807124,0.068149506,259075,KAU
507,20,0.048572208,0.157872397,282196,KAU
508,30,0.093302118,0.300777471,287874,KAU
509,40,0.151184676,0.438155308,282135,KAU
510,50,0.221417998,0.601915509,288038,KAU
511,60,0.300261584,0.782687189,288841,KAU
512,70,0.397551633,0.977213132,243690,KAU
513,80,0.499761241,1.169362903,205798,KAU
514,90,0.569505198,1.258798615,194845,KAU
515,100,0.65427142,1.398055909,189189,KAU
516,110,0.719657836,1.429215413,187276,KAU
517,120,0.741566499,1.507066869,187492,KAU
518,130,0.738592613,1.523671545,173471,KAU
519,140,0.750764349,1.530140493,156585,KAU
520,150,0.746051982,1.489032109,142597,KAU
521,160,0.757050243,1.495863008,129516,KAU
522,170,0.758453974,1.48630411,115538,KAU
523,180,0.724252827,1.423277888,102548,KAU
524,190,0.694675014,1.360428654,89740,KAU
525,200,0.622180925,1.217847409,92428,KAU
526,210,0.527799487,1.027025022,121131,KAU
527,220,0.418081962,0.82914534,180455,KAU
528,230,0.342533327,0.708942962,279114,KAU
529,240,0.253016976,0.539070908,400647,KAU
530,250,0.164106634,0.368113911,496446,KAU
531,260,0.09234264,0.255567282,577706,KAU
532,270,0.07124237,0.196777619,599592,KAU
533,280,0.058793397,0.15303426,522780,KAU
534,290,0.047273014,0.102458845,455991,KAU
535,300,0.047544645,0.096464952,404542,KAU
536,310,0.047619446,0.099352648,344731,KAU
537,320,0.04407043,0.096567881,298221,KAU
538,330,0.038421051,0.089004919,278827,KAU
539,340,0.03355464,0.079819951,263799,KAU
540,350,0.028874975,0.070542209,247561,KAU
541,0,0.651240683,1.383448194,12959,KIN
542,10,0.618721343,1.324952634,13724,KIN
543,20,0.5659298,1.194772563,15197,KIN
544,30,0.501238799,0.977703975,16526,KIN
545,40,0.36609781,0.673297542,17471,KIN
546,50,0.232814369,0.318381767,18393,KIN
547,60,0.218272426,0.267373956,20314,KIN
548,70,0.224600471,0.283287295,24202,KIN
549,80,0.244723231,0.309012328,31016,KIN
550,90,0.34913391,0.709722859,38613,KIN
551,100,0.988201056,1.900184166,40855,KIN
552,110,1.53786724,2.725797458,33441,KIN
553,120,1.868522209,3.203159159,26565,KIN
554,130,2.176744411,3.453149614,19926,KIN
555,140,2.258290252,3.408308755,15047,KIN
556,150,2.321447062,3.376923708,12469,KIN
557,160,2.329770724,3.313361115,10864,KIN
558,170,2.302599334,3.289103239,10446,KIN
559,180,2.297447671,3.243155767,10818,KIN
560,190,2.302608971,3.139863,11991,KIN
561,200,2.254317805,3.042836938,13759,KIN
562,210,2.323197208,3.124755255,16086,KIN
563,220,2.390779943,3.285819536,20677,KIN
564,230,2.627577845,3.453590085,28115,KIN
565,240,2.662532979,3.485123745,38156,KIN
566,250,2.203747231,3.17128293,47055,KIN
567,260,1.577468931,2.505690212,47738,KIN
568,270,0.923399123,1.514671303,37943,KIN
569,280,0.890196321,1.276786867,25695,KIN
570,290,1.099841885,1.478568451,20203,KIN
571,300,1.261190833,1.878935019,17672,KIN
572,310,1.011449255,1.737568411,16974,KIN
573,320,0.770770244,1.513577734,16531,KIN
574,330,0.715970272,1.450145754,14777,KIN
575,340,0.692308795,1.430101268,13308,KIN
576,350,0.680454048,1.443673455,12785,KIN
577,0,0.651240683,1.383448194,12959,KIN
578,10,0.618721343,1.324952634,13724,KIN
579,20,0.5659298,1.194772563,15197,KIN
580,30,0.501238799,0.977703975,16526,KIN
581,40,0.36609781,0.673297542,17471,KIN
582,50,0.232814369,0.318381767,18393,KIN
583,60,0.218272426,0.267373956,20314,KIN
584,70,0.224600471,0.283287295,24202,KIN
585,80,0.244723231,0.309012328,31016,KIN
586,90,0.34913391,0.709722859,38613,KIN
587,100,0.988201056,1.900184166,40855,KIN
588,110,1.53786724,2.725797458,33441,KIN
589,120,1.868522209,3.203159159,26565,KIN
590,130,2.176744411,3.453149614,19926,KIN
591,140,2.258290252,3.408308755,15047,KIN
592,150,2.321447062,3.376923708,12469,KIN
593,160,2.329770724,3.313361115,10864,KIN
594,170,2.302599334,3.289103239,10446,KIN
595,180,2.297447671,3.243155767,10818,KIN
596,190,2.302608971,3.139863,11991,KIN
597,200,2.254317805,3.042836938,13759,KIN
