species,trophic_guild,genus,subfamily,family,order,class,superclass,diet,position
pseudanthias_randalli,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_rubrizonatus,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_rubrolineatus,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_sheni,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_squamipinnis,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_taeniatus,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_taira,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_thompsoni,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,PelgAs
pseudanthias_townsendi,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_venator,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pyronotanthias_aurulentus,planktivores,pyronotanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pyronotanthias_flavoguttatus,planktivores,pyronotanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pyronotanthias_lori,planktivores,pyronotanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pyronotanthias_parvirostris,planktivores,pyronotanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
